text,title
"女:期望你转身
与我相厮守
辗转错
错了未愿放手
缘尽我早知
却也等候只因你
冷暖自愿尝透
男:对你的爱心
亦已看得透
但我知此刻
美梦不会久
缘份太感伤
盼你多见谅
不相见免却日后惆怅
女:长夜冷冰冰
每次温暖后
痴痴爱
我拒绝任你走
明白你处境
我也得接受
不可说
再见你亦是朋友
男:看你心痛苦
没法去补救
若再不归家
找不到借口
凝望你眼睛
有更深感受
痴痴意
放弃亦未能够
女:宁愿我委屈
决意不退后
真的爱
我两静候已久
期望再期望
这里一个梦
不消散
永远坠入迷惘
合:你我皆痛苦
没法爱得够
密意低低斟
饮千盅美酒
唯愿我(你)留下
爱你千千个晚上(留下)
轻抚你(我)百遍亦未曾够
唯愿我(你)留下
爱你千千个晚上(留下)
轻抚你(我)百遍亦未曾够
唯愿我(你)留下
爱你千千个晚上(留下)
轻抚你(我)百遍亦未曾够
唯愿我(你)留下
爱你千千个晚上(留下)",再见亦是朋友
  ,Aobao Xianghui (敖包相会)
"才下眉头的离愁
却上心头的温柔
雪上加霜的心 冻成了石头
一言难尽的缺口
一语难说的温柔
物是人非 蓦然回首 几春秋原因我 缘因我
相识太短莫莫莫
悲欢人 只恨两情深爱过原因我 缘因我
满眼深秋等花落
人影独坐 陪谁寂寞 不由我相思情长一夜愁
分别折下一枝柳
追着天涯厮守 谁嫌我马瘦
一梦恍然就如昨
一醒脸上风雨过
恩怨过错 潮起潮落 又几多原因我 缘因我
相识太短莫莫莫
悲欢人 只恨两情深爱过原因我 缘因我
满眼深秋等花落
人影独坐 陪谁寂寞 不由我原因我 缘因我
相识太短莫莫莫
悲欢人 只恨两情深爱过原因我 缘因我
满眼深秋等花落
人影独坐 陪谁寂寞 不由我",缘因我 (Because of Me)
"女:一轮明月 重圆的铜镜l
是痴心或幻影
一城柳絮 不甘心宿命
望一对鲤鱼为彼此苏醒男:想白首相依
交换心心相印
可红尘 滚滚而去女:我愿意 陪你去荒野流离男:哪怕一朵昙花而已合:想爱到荼蘼 只相爱不相离
合:执你手 愿得你 一人心女:一轮明月 重圆的铜镜
是痴心或幻影
一城柳絮 不甘心宿命
望一对鲤鱼为彼此苏醒男:想白首相依
交换心心相印
可红尘 滚滚而去女:我愿意 陪你去荒野流离男:哪怕一朵昙花而已合:想爱到荼蘼 只相爱不相离
合:执你手 愿得你 一人心女:我愿意 陪你去荒野流离男:哪怕一朵昙花而已合:想爱到荼蘼 只相爱不相离
合:执你手 愿得你 一人心女:我愿意 陪你踏冰天雪地男:我来守护你的黎明合:一梦一菩提 当今生遇过你
合:爱过你 白首也 不分离",白首相依 (Growing Old Interdependently)
"知否明天一到鲜花就会谢
　　同聚畅饮今晚夜
　　莫理今宵星稀月也斜
　　寻乐趁万花娇俏
　　知否明天一过花就会谢
　　同乐碰杯今晚夜
　　就趁美酒芬芳香四射
　　能尽兴就开心笑
　　知否明天一到花亦会谢
　　缘份到展开欢颜
　　省得过后怨嗟
　　谋共醉抛开心事
　　快乐能借得且去赊
　　同渡这一晚夜
　　愿你此刻珍惜今晚夜
　　陪伴你让心花放
　　知否明天一到花亦会谢
　　我愿同你一起过今晚夜Powered by ",今晚夜
"噢多麼美麗的一顆心
怎麼會　怎麼會　變成了一灘爛泥
噢多麼單純的一首詩
怎麼會　怎麼會　都變成了諷刺
　
我想要說的　前人們都說過了
我想要做的　有錢人都做過了
我想要的公平都是不公們虛構的
　
噢多麼乾淨的一幅畫
怎麼會　怎麼會　充滿了悲傷
噢多麼天真的一句話
怎麼會　怎麼會　像噩夢一樣
　
我想要說的　前人們都說過了
我想要做的　有錢人都做過了
我想要的公平都是不公們虛構的Powered by ",爛泥 (Lan Ni)
"在這個世界裏
尋找著你的夢想
你問我夢想在哪裏
我還年輕 我還年輕他們都說
我們把理想都忘在
在那輕狂的日子裏
我不哭泣
我不逃避（副歌：）
給我一瓶酒
再給我一支煙
說走就走
我有的是時間
我不想在未來的日子裏
獨自哭著無法往前給我一瓶酒
再給我一支煙
說走就走
我有的是時間
我不想在未來的日子裏
獨自哭著無法往前在這個世界裏
尋找著你的未來
你問我未來在哪裏
我還年輕 我還年輕他們都說
我們把理想都忘在
在那輕狂的日子裏
我不哭泣
我不逃避（副歌）我在青春的邊緣掙紮
我在自由的盡頭凝望
我在荒蕪的草原上流浪
尋找著理想我在青春的邊緣掙紮
我在自由的盡頭凝望
我在荒蕪的草原上流浪
尋找著 尋找著理想（副歌）Powered by ",我還年輕 我還年輕 (Teens Edge)
"我们在前世约定
一起穿行这世界
一生都不会停歇
永远向着那春天
迎着天边的夕阳
让我们一起在风中起舞
穿过这午夜星辰
让我们旅行的梦更精彩
一生都不会停歇
永远向着那春天直到这最后一刻
融进这温暖阳光里
让我们飞越这世界
迎着那天边的夕阳
穿过这午夜的星辰
让我们眼中的世界更精彩
在最后的一刻
融进这阳光里
在最后的一刻
飞越这辽阔世界
飞过这群山
飞越那洁白云海
飞过那万马奔腾的绿色原野
飞越那辽阔碧海蓝天
飞向那温暖春天Powered by ",天鹅之旅
"Hello 我回來囉
One One One Two Three
你幹嘛 你幹嘛 你幹嘛
Are you ready?
OK
Hello Hello Hello
臭不要臉
Hello Hello Hello
我美不美
Hello Hello Hello
Hello Hello
Hello
各位先生
各位女士
我是朱碧石
我們來說英文囉ABCDEFG
HIJKLMNOP
QRSTU and V
WXY and Z
噁～～你幹嘛！What about you?
I think so
你幹嘛
你幹嘛
你幹嘛
臭不要臉
噁～～
What's up man?
What's up girl?
What's up man?
你幹嘛
What's up man?
What's up girl?
噁～～
OH Yeah
好阿
你幹嘛
誰在背後罵我
Wow 你幹嘛
醜醜 臭
Wow Wow 你幹嘛
臭不要臉
噁～～",你幹嘛
"紅日西斜 霓虹折射
懷著焦急
等這赴約 者期待的人
迷人的夜
明月一彎 從霧中照射
沉醉於 甜蜜歌聲
抱擁所愛 令世間頓成仙境
願這刻 時候會停
置身傾心 瘋顛一夜情
請出唱 如夢的歌
給我知曉 誰人愛我
讓我坐於 你跟前和
沉醉於 甜蜜歌聲
抱擁所愛 令世間頓成仙境
願這刻 時候會停
置身傾心 瘋顛一夜情
沉醉於 甜蜜歌聲
抱擁所愛 令世間頓成仙境
願這刻 時候會停
置身傾心 瘋顛一夜情Powered by ",一夜傾情
"阳光正温暖
一直照进我心里
如果没有你
怎么会有我今天
有时我会想起
和你经历的故事
那些情景在飞扬
甜蜜又感伤
再次走过熟悉的地方
如今的你不知在何方
你曾给我的温暖感觉
依然在我心
如果再见你
又是怎样的情景
会不会将你
再次拥进我怀里
阳光真温暖
一直照进我心里
往事已遥远
一年又一年
竟然在这一天
在不经意之间
人群拥挤的街头
你走过我身边
风吹起的青色衣衫
夕阳里的温暖容颜
你比以前更加美丽
像盛开的花
这是我难忘的一天
在隐忍和冲动之间
看着你渐渐的远去
消失人海中Powered by ",难忘的一天
"情是激烈 情是瘋狂
情被這娛樂界書寫得有點骯髒
我覺得 純情些亦可
尤其遇到你 飾演安撫我的雞湯從沒風浪 從沒鋒芒
期望我能共你手牽手直到天荒
這一刻 未及周遊列國
與你生活 便是美麗天堂春風撲面 甜蜜的小片段
奇異的新發現 留在思海中轉又轉
堅守信念 平靜愛到終點
不必替票房 計算無大災難 無大分歧
承諾我陪著你不可比你更早死
太普通 未被寫成傳記
但是我享受 自願為愛情卑微春風撲面 甜蜜的小片段
奇異的新發現 留在思海中轉又轉
堅守信念 平靜愛到終點
不必替票房 計算情愛小品 注定了沒有歡呼群眾
唯有獨佔美夢
愛得不負重 置身天幕中春風撲面 甜蜜的小片段
奇異的新發現 留在思海中轉又轉
堅守信念 平靜愛到終點
不必替票房 計算多少試煉 難襲擊小志願
時代急速變臉 盟誓中戀愛繼續轉
堅守信念 平靜愛到今天
想跟你說著 永遠不懂計算 才值得跟你探尋 永遠Powered by ",愛情小品
"惊醒在那个冬天的早晨
冰雪溶化满森林
紧闭着心灵倾听着大海的声音
重复着那句勇敢的话语
夜空在笼罩着黑色的心灵
出发的时间就等待天明
划过的流星惊动了沉睡的雄鹰
还是在内心传来一个声音让阳光继续照耀着我
让阳光继续照耀着我 走向暴风雨之夜
让脚下的地吸引着我 在每一天
一直等待到那冬天的 再次来临再次来临
再次来临
再次来临",再次来临
"明月夜如醉了
夜空添一分凄迷
明月下怀抱你
是依依不舍的美丽
骤眼的心慌意乱令我着迷
愿温馨一生一世
由黑暗走进清凉凌晨
于街角拥吻深情情人
空虚与心碎飘如浮云
掩盖了街灯
微风正飘过轻摇长裙
光阴带走了痴迷时辰
双双抱紧完全地接近
明月下人醉了
全不知光阴消逝
蓝月亮离去了
仍依恋今晚的约誓
愿往昔伤心片段莫再提
让这一生更美丽
由黑暗走进清凉凌晨
于街角拥吻深情情人
空虚与心碎飘如浮云
掩盖了街灯
微风正飘过轻摇长裙
光阴带走了痴迷时辰
双双抱紧完全地接近
由黑暗走进清凉凌晨
于街角拥吻深情情人
空虚与心碎飘如浮云
掩盖了街灯
微风正飘过轻摇长裙
光阴带走了痴迷时辰
双双抱紧完全地接近
明月下人醉了
全不知光阴消逝
蓝月亮离去了
仍依恋今晚的约誓Powered by ",蓝月亮
"哥 从小我一直问你
为什么你是哥我是弟
哥你总是那样严厉
为什么爱我 从不放弃哥 在风雨中看见你
为什么你始终没泪滴
哥 我要和你站在一起
我知道你也没大力气你说你是哥哥我是弟
你要为我遮风挡住雨
再难的路也要在一起
一心找到人生的路基我有你这哥哥在心里
我也为你遮风挡住雨
想说的话永远说不清
手足的情
兄弟的心哥 在风雨中看见你
为什么你始终没泪滴
哥 我要和你站在一起
我知道你也没大力气 你说你是哥哥我是弟
你要为我遮风挡住雨
想说的话永远说不清
手足的情你说你是哥哥我是弟
你要为我遮风挡住雨
再难的路也要在一起
一心找到人生的路基哥从小我一直问你
为什么你是哥我是弟
哥从小你那么严厉为什么爱我 从不放弃 哥
在风雨中看见你
手足的情
兄弟的心",Gege ( 哥哥 )
"别离没有对错 要走也解释不多
现代说永远已经很傻随着那一宵去火花已消逝
不可能付出一生那么多
情尽时就要放过 我怎会想穿心窝
若是厌弃了再不蹉跎如共你分开应有机会再爱一个
不可能付出一生空虚过你我情如路半经过
深知道再爱痛苦必多
愿你可轻轻松松放低我
剩了些开心的追忆送走我
皆因了解之后认清楚
离别时笑笑明辰剩我一个
潇洒里也会记起当初
若你的心中孤单再找我
若你的心窝中空虚再找我
不必痛苦当忆起我别离没有对错 要走也解释不多
现代说永远已经很傻随着那一宵去火花已消逝
不可能付出一生那么多
情尽时就要放过 我怎会想穿心窝
若是厌弃了再不蹉跎
如共你分开应有机会再爱一个
不可能付出一生空虚过你我情如路半经过
深知道再爱痛苦必多
愿你可轻轻松松放低我
剩了些开心的追忆送走我
皆因了解之后认清楚
离别时笑笑明辰剩我一个
潇洒里也会记起当初若你的心中孤单再找我
若你的心窝中空虚再找我
不必痛苦当忆起我你我情如路半经过
深知道再爱痛苦必多
愿你可轻轻松松放低我
剩了些开心的追忆送走我
皆因了解之后认清楚
离别时笑笑明辰剩我一个
潇洒里也会记起当初
若你的心中孤单再找我
若你的心窝中空虚再找我
不必痛苦当忆起我",现代爱情故事
"田：
他遇见了她
爱上了她
却还是失去了她
他落在雨里
湿透了发
再没有听到过回答文：
他害怕光亮
害怕受伤
也想要用力的发光
他没有爱人
他的伤和痛
从来就没有人心疼合：啊～文：
如果没有他
这个星球不会有变化田：
如果没有她
眼泪也不会为她流下文：
如果没有他
还有谁会对着影子说话田：
如果没有她
如果没有她合：啊陆 (Rap):
小时候妈妈告诉我她从来不服输
为什么轮到我就从来没有赢过
一直在追赶的人果然大红大紫
而我只能看着他们从我身边经过
保镖 闪光灯 和粉丝的尖叫
连我自己都快把我遗忘
我想大吼一声让他们都回头看
因为他们以前也都跟我一样
够了 我再也不想听到那些道理
求你不要再对我说 孩子 轮不到你
你不会知道我的状态已经糟糕到底
还得笑着告诉别人不用替我着急
真的不用替我着急
我每天躲在录音棚里吃着外卖
希望时间不要过的太快
求你多给我一点时间去准备文：
如果没有他
这个星球不会有变化田：
如果没有她
眼泪也不会为她流下陆 (Rap):
他说生活早就看透他最想要的是陪伴
他是个孤单的战士
当伤口早已经溃烂
他也会在孤单的夜晚泪水打湿了床单
从他的沉默中来看
从他的沉默中来看文：
如果没有他
还有谁会对着影子说话田：
如果没有她
如果没有她田：
害怕光亮
害怕受伤
也想要用力的发光文：
他没有爱人
他的伤和痛
从来就没有人心疼",他他他
"十八的姑娘一朵花,一朵花.
眉毛弯弯眼睛大,眼睛大.
红红的嘴唇,雪白牙,雪白牙.
粉色的笑脸,粉色笑脸赛晚霞.
啊..... 姑娘十八一朵花,一朵花.  十八的姑娘一朵花,一朵花
每个男人都想她,都想她.
没钱的小伙儿她不爱呀,她不爱.
有钱的老头、有钱老头她不嫁.
啊..... 姑娘十八一朵花,一朵花.  十八的姑娘一朵花,一朵花.
美丽青春好年华,好年华.
姑娘长大不可留,不可留.
留来留去, 留来留去成冤家.
啊..... 姑娘十八一朵花,一朵花.Powered by ",十八姑娘一朵花
"如果你可以
躲进我梦里
贪恋的少女
娇艳了红晕
宇宙里都湿透了
我们都好幽默
宇宙里都湿透了
我们都一样快乐
只是我们都好寂寞
只是我们都好寂寞
只是我们都好寂寞
只是我们都 我们都好寂寞
只是我们都是和自己一起相处的人",千禧童话
"站立在不知方向的路上
哪里有不必悔恨的去向
每次我感觉热情已在望
现实又有别我所想
寂寞尽写于失意的面上
这里有开心快乐的以往
我却要把你淡忘
我有我一再彷徨
我有我掩饰慌张
前路堕进万里雾中象白茫茫
离别留下情痴一笔欠帐
谁愿平静人生再次动荡
柔情蜜意热爱换来是这样
然后学会避免受伤尽量埋藏
临别情话无心痴心错向
难道流露情感也算是罪
我要走孤单的路更长",情路茫茫
"为何仍要歌唱 不愿再细想
每夜却照常 等知音赞赏
曾用真心认真唱 藏着辛酸的歌
观众的声音却 常比它更响
人人随意点唱 一样那些歌
唱罢也惹来 公式的拍掌
其实掌声属于那 人尽皆知的歌
演唱的歌手却 如永没名字
骤变的音阶 屡次起跌
如同年月蹉跎
别人的歌 别人风光
藏着我一生痛楚
但我不甘心 永远灰暗
如同陪衬
不相信就这般 无声的度过
台下热烈射灯正闪亮
象千盏欣赏眼睛
从前愿望逐渐变真实
如象看见听众 个个细听我的歌
渐暗的灯火 却照醒我
仍然如旧蹉跎
别人的歌 别人风光
藏着漆黑的痛楚
但我不清楚 那里保证
何时能突破
只恐怕象首歌 重复的度过
不相信就这般 无声的度过Powered by ",别人的歌
"独自驾车与寂寥随处荡
她惯了靠吸烟  替代独自谈话
墨绿眼镜隔绝阳光  不想远望
不需暖光  因她拒绝期望
就让一支烟  点起一张很想见的脸
冷冷车厢里  只得这口烟
让上升的烟  织出一张摸不到的脸
模糊的故事  倒映倒后镜内
淡绿衬衫衬着红黄灯号
车里暗笑的她  会淡没在长路
艳丽眼睛看着红灯三种抉择
偏偏要等灯光变换迷阵
就让一支烟  烧出一早封锁了的梦
最理想的戏  车厢里上演
让上升的烟  遮掩窗边不想见的路
谁人想发现  身边满是告示
不断吐烟  因她一早已习惯
将冷却了的烟  去用力弄熄
不断吐烟  因她不想去习惯
剥去了镜框  看命运在转弯  拼命循环
不断驾车  因她一心要遇到
可以变化的街  永没路牌
不断驾车  因她一心要遇到
可以变化的街  永没路牌
不断吐烟  因她一早已习惯
将冷却了的烟  去用力弄熄
不断吐烟  因她不想去习惯
剥去了镜框  看命运在转弯  拼命循环
　Powered by ",吸烟的女人
"整片樱花森林 已开满
一眨眼都落尽 白花瓣
减弱我的跫音 声声慢
风在树梢弹琴 曲中断问你 寻寻觅觅 寻寻觅觅
你在找什么？
一点点 一滴滴
此刻已过了
争分夺秒 毕竟人生如梦
挺身跟我一起乘风
没什么不可能早春带来暖度 溪急流
波纹中一步步 水渗透
已喝干的酒壶 远漂游
乍见早已涉渡 继续走岁月如流
将我夺走
趁时间还来得及牵我的手
一起走Powered by ",寻寻觅觅 (Xun xun mi mi)
"芒果冰 
加了空氣變成綠色 
像我們之間的髒話和情話 都毫無規則 如果說 
失去記憶 就能忘記 
那我們失憶後又一見鍾情 又要怎麼辦 殺了寂寞 才能活 
饒了我 你又難過 
原來路窄 又相愛 又說散 
原來相愛相殺真存在 就是冤家 忘了吧忘了忘了唄 
我們生死相隨 
去到東南西北 就是冤家 忘了吧忘了忘了唄 
我們生死相隨 
總會有人不對 就是冤家 忘了吧忘了忘了唄 
我承認我不對 
你承認你後悔 就是冤家 忘了吧忘了忘了唄 
就算撕心裂肺 
最後也是一對 芒果冰 
加了空氣變成綠色 
像我們之間的髒話和情話 都毫無規則 如果說 
失去記憶 就能忘記 
那我們失憶後又一見鍾情 又要怎麼辦 殺了寂寞 才能活 
饒了我 你又難過 
原來路窄 又相愛 又說散 
原來相愛相殺真存在 就是冤家 忘了吧忘了忘了唄 
我們生死相隨 
去到東南西北 就是冤家 忘了吧忘了忘了唄 
我們生死相隨 
總會有人不對 就是冤家 忘了吧忘了忘了唄 
我承認我不對 
你承認你後悔 就是冤家 忘了吧忘了忘了唄 
就算撕心裂肺 
最後也是一對",王牌冤家 (Wang Pai Yuan Jia)
"【豫】姐儿头上戴着杜鹃花～呀
迎著风儿随浪逐彩霞
船儿摇过春水不说话～呀
水乡温柔何处是我家
船儿摇过春水不说话～呀
随着歌儿划向梦里的他
嘴儿轻轻唱呀不说话～呀
水乡温柔像那梦里的画 【男】蹦…蹦…蹦…蹦… 【男】嘴儿轻轻唱呀唱不休～呀
年华飘过歌声似水流
船儿摇过春水不停留～呀
摇到风儿吹波天凉的秋
船儿摇过春水不停留～呀
鱼儿双双结伴水底游
谁的船歌唱得声悠悠
水乡温柔来到天凉的秋 【男】唱不休 似水流
不停留 天凉的秋
不停留 水底游
声悠悠 天凉的秋 【合】谁的船歌唱得声悠悠
谁家姑娘水乡泛扁舟
谁的梦中 他呀不说话 呀
谁的他呀 何处是我家 【豫】姐儿头上戴着杜鹃花～呀
迎著风儿随浪逐彩霞
船儿摇过春水不说话～呀
水乡温柔何处是我家
船儿摇过春水不说话～呀
水乡温柔何处是我家 【男】唱不休 似水流
不停留 天凉的秋
不停留 水底游
声悠悠 天凉的秋Powered by ",船歌
"绕一圈 又一圈 太遗憾 还是深陷
一层层 一团团 自我催眠再次被反复打乱 或许早乱成习惯
可不可以不要再敷衍想一遍 再一遍 太为难 难以挑选
一段段 一片片 没办法判断继续被勇敢欺骗 心难免感到不安
错把习惯当做了答案还没有到时候 就差那几分钟
情绪在酝酿中 平静的接受不奢求
等流的泪酿成酒 我们举杯问候
从朋友到一句Love You再多给 一分钟 是中间 也是终点
两颗心 一条线 画风很简单这次不会再拐弯 省下绕路的时间
直接走到彼此面前还没有到时候 就差那几分钟
情绪在酝酿中 平静的接受不奢求
等流的泪酿成酒 我们举杯问候
从朋友到一句Love You还没有到最后 需要时间感受
爱情在进化中 留下的温柔 不将就
从梦寐以求的自由 走到毫无保留
从爱了很久到彼此拥有从爱了很久到彼此拥有",Ai Qing Jin Hua Lun (爱情进化论)
